DATAFLOW,LAST UPDATE,freq,age,indic_se,sex,sizeclas,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,CH,2010,5856,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,CY,2010,2455,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,CZ,2010,1045,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,DE,2010,3098,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,DK,2010,4356,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,EE,2010,979,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,EL,2010,1694,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,ES,2010,2105,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,EU28,2010,2411,s
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,FI,2010,3120,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,FR,2010,2187,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,HR,2010,1249,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,HU,2010,745,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,IE,2010,3959,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,IS,2010,2580,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,LT,2010,749,
